names,scores,logfoldchanges,pvals,pvals_adj
CTSD,13.132999,0.91267955,2.130487922628459e-39,4.434397562158874e-35
TGM2,12.084991,1.8113589,1.2678328213223142e-33,1.3194336171501323e-29
IGHE,11.004416,1.5421393,3.638649965724351e-28,1.0819265769512378e-24
APOE,10.674696,0.8145715,1.3369460476776074e-26,3.0919105595957466e-23
SUSD3,10.508937,1.698336,7.857395287815101e-26,1.6354382552058353e-22
FTL,10.346323,0.5412846,4.348671082274428e-25,8.228476355132723e-22
RPSA,10.184495,0.48592177,2.3256384465343477e-24,3.723526048166609e-21
CD74,10.1495695,0.69535464,3.328298245075118e-24,4.948228548070964e-21
CXCL14,10.142158,1.7663692,3.590814129565123e-24,4.982613686184565e-21
DEGS1,9.935969,1.2465981,2.9033748589598035e-23,3.554755547905256e-20
GFRA1,9.926986,1.1431941,3.1771589331744053e-23,3.5758135688109355e-20
NEAT1,9.92429,0.6420341,3.264171125560093e-23,3.5758135688109355e-20
CCND1,9.714958,0.78535295,2.603560083592059e-22,2.3980292632864974e-19
MUC1,9.713161,0.64359254,2.649883398462066e-22,2.3980292632864974e-19
KCNMA1,9.597714,1.664392,8.173689560096552e-22,6.543352865532679e-19
RPLP1,9.139296,0.33542457,6.286067620633076e-20,4.672793266280602e-17
CLU,8.883695,0.93784225,6.467572925303708e-19,4.206751964602231e-16
FN1,8.847308,0.83018345,8.965529860119954e-19,5.654804197228385e-16
LAPTM5,8.839672,0.9196658,9.600007839828658e-19,5.8768989170056965e-16
CPNE7,8.811484,0.9134311,1.2349993255582948e-18,7.344364560620099e-16
SELENOM,8.712882,0.7453953,2.9624412483425362e-18,1.712784781750043e-15
RPL8,8.641683,0.42156506,5.5391180642015154e-18,3.0339790365339564e-15
SNX22,8.571269,1.5153782,1.0235103873496447e-17,5.4623962057167966e-15
PSMB4,8.483897,0.5287537,2.1777381185622334e-17,1.1055473463354713e-14
RPL7,8.477384,0.43682986,2.3031410971555585e-17,1.1413709237189475e-14
THBS1,8.474015,1.0510759,2.370773565996246e-17,1.1475646744801364e-14
TTLL12,8.43673,1.1263224,3.263382645283667e-17,1.5094232528652056e-14
RPS2,8.40843,0.34985924,4.155350395902319e-17,1.8802057204415404e-14
LMCD1,8.405061,1.5548023,4.276392903273293e-17,1.8938051465687302e-14
PYCARD,8.381365,0.7424825,5.231731774282197e-17,2.2686096906231176e-14
RPS14,8.358343,0.3191122,6.360522273652626e-17,2.7017940939552195e-14
PSAP,8.355199,0.44340584,6.532268796917007e-17,2.7192528547806114e-14
SQSTM1,8.279507,0.45804134,1.2368655124576525e-16,4.95079207236415e-14
SPAG6,8.256597,1.6129774,1.498844266812008e-16,5.777211957300952e-14
MMP14,8.248399,1.2128468,1.6053072834316068e-16,6.075066508608265e-14
CRAT,8.164734,1.1408038,3.2214562152365715e-16,1.1973462439988214e-13
GALNT6,8.1261015,0.5534367,4.433181510671626e-16,1.6188112274231443e-13
PFKFB3,7.987857,1.1412418,1.3730463178731633e-15,4.763097676702004e-13
AEBP1,7.9428234,0.84612674,1.9762986445490075e-15,6.634625804458555e-13
LGMN,7.9016085,0.9681241,2.7532684477521666e-15,9.096274519287873e-13
BRINP3,7.895544,1.6300344,2.890511008957646e-15,9.400483771944444e-13
RARRES3,7.8409653,0.652131,4.470963434704838e-15,1.4316712758453308e-12
C1QB,7.822772,0.8032948,5.167256874101358e-15,1.605243053396204e-12
RPLP2,7.813676,0.3507967,5.554390609571145e-15,1.7001336198178502e-12
TCEAL4,7.801098,0.4758726,6.137093088354094e-15,1.851267471608726e-12
MCL1,7.7312455,0.69228035,1.0649933535868319e-14,3.036544063226893e-12
SH3BGRL,7.6974425,1.0311551,1.3881649883878983e-14,3.904495414635908e-12
RPS28,7.676442,0.2911102,1.6356813702697505e-14,4.539342938772611e-12
AGR2,7.6479173,0.68180424,2.0426083861503455e-14,5.594059335438591e-12
FCER1G,7.566947,0.9811341,3.820978802041154e-14,1.0067069972871465e-11
EVL,7.561669,0.52228475,3.9793082204982907e-14,1.0353165162681428e-11
TPRN,7.551786,1.0352187,4.293292201048402e-14,1.1032170848471783e-11
AC105999.2,7.5006886,1.1466409,6.348352836885303e-14,1.611397755450374e-11
POLR2L,7.489346,0.49926627,6.921771819528969e-14,1.7357802247189872e-11
RPL15,7.4773293,0.307236,7.584808095325914e-14,1.8794070916203998e-11
TCIM,7.441505,0.9928512,9.954463689573318e-14,2.4375553792326946e-11
IGHG4,7.422638,0.5812432,1.148101407258968e-13,2.7467336426078343e-11
LGALS1,7.380637,0.6457055,1.5753400300536146e-13,3.726037202901811e-11
SH3GL1,7.36615,1.0114664,1.7562627064614085e-13,4.0684954319036666e-11
MORF4L2,7.3659253,0.46612325,1.759222585141395e-13,4.0684954319036666e-11
LY6E,7.2877626,0.3891333,3.151442725456496e-13,7.12979661822299e-11
ATP6V0B,7.242168,0.47207665,4.4156865768810205e-13,9.777457490553358e-11
IGHA1,7.211734,1.0208272,5.524384454377797e-13,1.1854076085919533e-10
FLNA,7.171642,0.7539354,7.410357021804412e-13,1.573869092365684e-10
IKBKE,7.167599,0.9353226,7.632446600039788e-13,1.6046640760932137e-10
PLTP,7.0935917,1.1915884,1.3067537287895567e-12,2.719877211102583e-10
RPL10,7.07596,0.25827143,1.4841754612547168e-12,3.0585770347084826e-10
RNASE1,7.048671,0.9281875,1.8063520047872834e-12,3.650234041518691e-10
PMP22,7.005771,1.059337,2.456293685093943e-12,4.915893919379359e-10
FBN2,6.9808397,1.222711,2.9342066010928356e-12,5.816435828109169e-10
LUM,6.9216566,0.76099855,4.463929559858112e-12,8.683385968120255e-10
BST2,6.919972,0.49098223,4.5173339468792196e-12,8.705906367624452e-10
IFI27,6.835745,0.47550356,8.157998656919874e-12,1.5436416731375476e-09
ACSL1,6.828333,1.3509351,8.590702029788418e-12,1.6108727211532984e-09
AGL,6.826536,1.2022252,8.698940286732745e-12,1.6166048493576373e-09
ZFP36L1,6.8244023,0.7286683,8.829209559861579e-12,1.626293520167778e-09
CD151,6.8222685,0.5259154,8.961389634480827e-12,1.6361610864217887e-09
NINJ1,6.8159795,0.62482786,9.362353296780731e-12,1.6945045349495142e-09
C1QA,6.782401,0.75206316,1.1819468516985783e-11,2.0673144345591772e-09
ACAT1,6.781166,0.8540394,1.1920990496009774e-11,2.0676958015328952e-09
CARD19,6.7720695,0.9569023,1.2695323493246623e-11,2.183805480896159e-09
ARPP21,6.7665668,1.2813874,1.3187439875859649e-11,2.2315721428954692e-09
POSTN,6.75455,0.789525,1.4327908261580535e-11,2.4050087302946555e-09
B2M,6.7266994,0.26881537,1.7355507621315536e-11,2.8669645684925523e-09
GRN,6.70626,0.3944246,1.9967572830645883e-11,3.246914538258308e-09
SREBF1,6.6998587,0.72090036,2.086209931755169e-11,3.3660754666319446e-09
TYROBP,6.686832,0.77237856,2.280538529005025e-11,3.651317610977738e-09
COL6A2,6.6492105,0.7111209,2.9466959193443526e-11,4.577054392927862e-09
RPLP0,6.6012573,0.26098958,4.0768562822778094e-11,6.148962801400748e-09
Z82214.2,6.5849733,1.4362594,4.549671565763149e-11,6.812724026603899e-09
ABCC5,6.5801444,0.5827356,4.699919561947908e-11,6.987437554455983e-09
UQCRC1,6.5712724,0.49098063,4.988710329802697e-11,7.364185588972577e-09
BMI1,6.534662,0.7433465,6.375346234377646e-11,9.235797243979427e-09
IRF1,6.5343246,0.88733834,6.389712708432005e-11,9.235797243979427e-09
C1QC,6.5296082,0.78890246,6.594199068268143e-11,9.400798589515968e-09
C16orf45,6.503891,1.022976,7.826870057382526e-11,1.1082209073085708e-08
PSD3,6.4944572,1.0657331,8.333319040378072e-11,1.1719574493677649e-08
BGN,6.446055,0.7352719,1.1479900094752223e-10,1.582401593193197e-08
RPL34,6.441226,0.34045875,1.1851223741904024e-10,1.6228379668683576e-08
FGD3,6.3646355,1.0810175,1.9575384003896968e-10,2.6286583397233e-08
MMP11,6.358796,0.7665174,2.0334133739785512e-10,2.6997061210445332e-08
RIN2,6.3585715,0.9340351,2.036388301162639e-10,2.6997061210445332e-08
PRKACB,6.2828794,0.84845984,3.323589071626852e-10,4.296719437070888e-08
TSPAN4,6.279847,0.8996812,3.3890589467803813e-10,4.3275995655390716e-08
UQCR11,6.2479534,0.36841503,4.1586598312967653e-10,5.2143581764223415e-08
RPS3,6.230434,0.2930501,4.65144485948238e-10,5.797315766782411e-08
IFITM3,6.2239203,0.37897202,4.848827094475209e-10,6.007350425262321e-08
MVP,6.21999,0.6455479,4.971867129615203e-10,6.123339789101233e-08
LSP1,6.195508,0.88396806,5.809734334019702e-10,7.113165319310946e-08
TGFBI,6.1909037,0.9316124,5.982029155471495e-10,7.281283908887936e-08
VIM,6.169566,0.51287436,6.847764456542331e-10,8.286591244097215e-08
AQP3,6.148116,0.5381811,7.8408529875972e-10,9.433497923921856e-08
COL2A1,6.126442,0.896876,8.986599101247058e-10,1.0749831821457256e-07
RMND1,6.1213884,0.9602451,9.276353660969359e-10,1.1033030005680928e-07
NNMT,6.101735,0.9511147,1.0492300009455412e-09,1.2338233468746042e-07
RPL39,6.094323,0.22558497,1.0990129438632333e-09,1.2779248834396278e-07
UQCRQ,6.092302,0.3031729,1.1129850685333158e-09,1.2869817342473575e-07
RALY,6.088259,0.5000314,1.1414508073486288e-09,1.307225419302199e-07
AGR3,6.0880346,0.6353144,1.1430528793744607e-09,1.307225419302199e-07
EDF1,6.0640016,0.37038544,1.3277575901243658e-09,1.501953613089595e-07
