names,scores,logfoldchanges,pvals,pvals_adj
CEACAM6,13.80153,2.096075,2.4950036819786995e-43,5.193100663670465e-39
CRISP3,13.622588,2.802499,2.939636179358758e-42,3.0592793718586593e-38
CALML5,13.095582,0.95874065,3.489867982085682e-39,2.421270405971046e-35
APOE,12.884034,0.8616574,5.536444528705562e-38,2.880888910511939e-34
SLITRK6,12.611496,2.1174872,1.824962908082175e-36,7.596955593764478e-33
AEBP1,12.20205,1.110615,3.030955034451483e-34,1.0514383014512193e-30
COL1A1,12.187318,1.1058266,3.6317682763420934e-34,1.0798803557683476e-30
TMSB10,12.1284895,0.41138938,7.461316836845022e-34,1.9412481080261535e-30
APOC1,12.039902,0.881548,2.192155815016867e-33,5.069725681529008e-30
IGFBP5,12.020751,0.6792758,2.7644808780462657e-33,5.753990499565498e-30
RPS19,11.49129,0.34851795,1.459163106647418e-30,2.7610019001599416e-27
COL1A2,11.365972,1.0383438,6.177323285582132e-30,1.0714567238842207e-26
C2orf54,10.878448,1.7833524,1.4602881892886303e-27,1.899652398240847e-24
DCN,10.755192,1.2277186,5.6017542396134005e-27,6.85852427901843e-24
TAGLN2,10.740165,0.5740812,6.59264032541793e-27,7.623289762958267e-24
RPS15,10.677997,0.45664155,1.2902563273486519e-26,1.4134418524965705e-23
SPARC,10.548455,0.7824413,5.163904759275696e-26,5.374075682978216e-23
C1QB,10.507206,0.97893727,8.002917378284581e-26,7.932034395791204e-23
SERHL2,10.328755,1.023472,5.223402306269468e-25,4.941813436486032e-22
FTL,10.090886,0.4471258,6.061997976362835e-24,5.485844603478959e-21
VTCN1,10.062012,1.3397954,8.131957588341373e-24,7.052440218489056e-21
ACTB,9.933452,0.27904996,2.977646548931436e-23,2.479069410778356e-20
S100A13,9.908408,0.54196775,3.8269532783545096e-23,3.063623289833491e-20
TAGLN,9.699119,1.13253,3.041151605383318e-22,2.1827079142913235e-19
C6orf141,9.636263,1.2960356,5.619679775538071e-22,3.898933828268314e-19
S100A9,9.620647,1.1760384,6.541839191777359e-22,4.39231744960174e-19
COMP,9.558185,1.2768278,1.1984083084670181e-21,7.794897041385161e-19
