names,scores,logfoldchanges,pvals,pvals_adj
FN1,14.193821,1.7244928,1.0005448504486873e-45,2.0825340517238978e-41
SPARC,13.216,1.2407323,7.093781663485602e-40,7.382498577189465e-36
COL3A1,13.107249,1.5060478,2.992586637798894e-39,2.0762566093048726e-35
COL1A1,13.042838,1.4886762,6.980879373607862e-39,3.632500582056851e-35
COL1A2,12.822304,1.4571689,1.2299145254838042e-37,5.1198881866839805e-34
COL5A2,12.155331,1.8514701,5.374373628336358e-34,1.824856739499999e-30
POSTN,12.144479,1.5477564,6.137213979292781e-34,1.824856739499999e-30
COL6A2,12.112624,1.2933792,9.055013065181358e-34,2.3558880242335596e-30
MMP11,11.695358,1.4539142,1.346185660641924e-31,2.801950834060101e-28
CXCL14,11.201779,1.9900649,3.9962480802717304e-29,7.561627958434163e-26
COL12A1,10.914268,1.6760005,9.85207213732008e-28,1.5773925343552321e-24
CRAT,10.80505,1.5115206,3.257803873278864e-27,4.5205286545617516e-24
COL5A1,10.703417,1.6136723,9.809291553617855e-27,1.2010034964529531e-23
COL6A1,10.695132,1.1749188,1.0726648282743277e-26,1.2403580964278811e-23
DEGS1,10.583815,1.3870635,3.542360056182941e-26,3.7701287766730757e-23
LGALS1,10.581715,0.93012947,3.6226854777294854e-26,3.7701287766730757e-23
AEBP1,10.349744,1.094836,4.1960590953691345e-25,4.1588940005244364e-22
FLNA,10.258263,1.0907859,1.0864349771469604e-24,1.0108760239001836e-21
BGN,10.255579,1.2561964,1.117043746983003e-24,1.0108760239001836e-21
MMP14,10.2135725,1.5865425,1.7239801959280214e-24,1.4951218249185764e-21
MYL9,10.142978,1.1062199,3.560761357102903e-24,2.9645474754695925e-21
CCND1,10.128042,0.87592065,4.1487272511406725e-24,3.321215730970845e-21
MT2A,10.099338,0.5799027,5.5616556698214384e-24,4.134296468273694e-21
TTLL12,10.069817,1.4222066,7.511826804884972e-24,5.391419417823304e-21
IGHE,10.038545,1.4496199,1.0318526369379359e-23,7.158993595075399e-21
RPSA,9.997238,0.4879929,1.5670665645746384e-23,1.0192788585955163e-20
TAGLN,9.957215,1.339939,2.3454067588544594e-23,1.4358028317293152e-20
MUC1,9.856866,0.70524365,6.401649641412409e-23,3.806969589610225e-20
THBS2,9.826528,1.5553128,8.655168285265483e-23,4.868883045662588e-20
LUM,9.777403,1.2046597,1.4077607550032855e-22,7.710824303852207e-20
HTRA1,9.601442,1.2237585,7.883377401894033e-22,4.10211543107556e-19
SERPINH1,9.593507,1.1628307,8.514053648436536e-22,4.322232015574586e-19
COL6A3,9.580789,1.2775837,9.630675136725286e-22,4.772687435614288e-19
RPL10,9.353719,0.34638476,8.461869179823579e-21,3.9138965579744e-18
PMP22,9.303194,1.434269,1.3628808588934316e-20,6.0355323823421035e-18
COL18A1,9.296193,1.3676811,1.4556394518269702e-20,6.312016572984699e-18
CST1,9.274373,1.6919616,1.7866632595419145e-20,7.589307976348043e-18
KRT8,9.199578,0.47041932,3.5935810486085295e-20,1.466603842073293e-17
KCNMA1,9.167256,1.57729,4.852113927743093e-20,1.942151909462399e-17
RPLP1,9.073324,0.33786574,1.1543969294070142e-19,4.5335127714486026e-17
RPS2,9.062473,0.38973895,1.2752594395447225e-19,4.8936415380915926e-17
GNG5,9.060956,0.8185464,1.2931213826993254e-19,4.8936415380915926e-17
FBN1,9.0449705,1.403193,1.497060665095073e-19,5.564253693444438e-17
ARPP21,9.021867,1.6831601,1.8491150421851573e-19,6.752189559305589e-17
TPM2,9.018482,1.2456937,1.907124706739393e-19,6.843947180357539e-17
UQCRQ,8.989078,0.42817837,2.493131933568981e-19,8.79526238394996e-17
RPL15,8.980793,0.37819508,2.6882146683241923e-19,9.325416684416624e-17
TGM2,8.969708,1.292688,2.9730100891023182e-19,9.980682579770266e-17
