names,scores,logfoldchanges,pvals,pvals_adj
BACE2,9.196261,1.0201789,3.706212453433062e-20,4.2856170003197644e-18
CCL5,9.168478,1.2697076,4.7974393886602517e-20,5.48647821074585e-18
CCDC57,9.087113,0.8264738,1.0170317097880396e-19,1.1380912907273256e-17
LINC00645,9.058854,1.5678995,1.318279861646761e-19,1.4517818539849567e-17
GGT1,9.046709,0.8601619,1.4734194342994082e-19,1.597278755495202e-17
ANXA6,9.023054,0.5848615,1.8291767722545147e-19,1.9726676340780036e-17
IL6ST,9.006305,0.46691853,2.131166518903414e-19,2.2747743551002903e-17
PCED1B,8.96987,0.9945455,2.968668753999094e-19,3.129709395663416e-17
S100A6,8.969552,0.32018405,2.9772386871401764e-19,3.129709395663416e-17
FAM234B,8.944943,0.5984148,3.7213902186157617e-19,3.834505743082597e-17
ALDOC,8.91597,1.5726871,4.835640691788376e-19,4.933775752886434e-17
MRPS30,8.907952,1.0095648,5.198356691492631e-19,5.277980301303787e-17
CAPG,8.828493,0.5826056,1.0609525244064963e-18,1.0367448752580664e-16
VIM,8.736889,0.5738497,2.3961849567980865e-18,2.2983499396679896e-16
TMED3,8.676719,0.6484849,4.073515851768629e-18,3.819196348590642e-16
TRBC2,8.662033,1.393314,4.634232367304438e-18,4.3254220848912367e-16
CTSS,8.628852,0.9126771,6.1970627462563774e-18,5.732696177803566e-16
PDCD4,8.596307,0.6255758,8.232273564630927e-18,7.51519920939597e-16
BASP1,8.5928135,1.2739067,8.48650040625308e-18,7.713450631255529e-16
Z82246.1,8.581065,1.231435,9.399829715348079e-18,8.444754512542971e-16
APOD,8.537486,1.2391427,1.3717372211595707e-17,1.2149505753708639e-15
TYMP,8.535898,0.48431176,1.390706699770834e-17,1.226532595297887e-15
C4orf48,8.514465,0.42031747,1.6736020330424205e-17,1.4698039120567485e-15
C1QB,8.481205,0.6713161,2.2287274087790177e-17,1.9409511416873e-15
SOCS2,8.436752,1.100022,3.2627616571710386e-17,2.817888843666307e-15
HLA-DQA2,8.413256,1.3863378,3.987830906065002e-17,3.429864152018056e-15
SLC7A5,8.360945,0.9143575,6.221806182209128e-17,5.221801365987935e-15
CACNA1H,8.348244,1.4363729,6.928545221040209e-17,5.791595993202045e-15
STS,8.341814,1.3392268,7.31594653160205e-17,6.090964444350603e-15
COPS9,8.288788,0.42338988,1.1440814909973787e-16,9.412218242537328e-15
MT-CO2,8.252591,0.3582443,1.549970587211195e-16,1.2651406981260318e-14
STC1,8.215918,1.1501933,2.1054870645171437e-16,1.7051987455587484e-14
GOT2,8.204089,0.6070615,2.3234484271928214e-16,1.867191334501598e-14
ATP2A3,8.183768,0.5776617,2.751028640075841e-16,2.1938662879133547e-14
MB,8.175354,0.6296516,2.94998503262031e-16,2.343549178204547e-14
RPL26,8.165749,0.33643827,3.1944690083997314e-16,2.5281246365335363e-14
WARS,8.15416,0.7254527,3.516165731243497e-16,2.7721770276553843e-14
HLA-DMB,8.13233,0.97179264,4.211166074030665e-16,3.2951582956719645e-14
TUBB,8.105341,0.33614588,5.259789336146503e-16,4.069786440243618e-14
TIMP1,8.091766,0.63963896,5.880543494225164e-16,4.516517796634781e-14
C1QBP,8.0345335,0.58810985,9.393543897332723e-16,7.109717188330301e-14
IL32,7.9557886,0.9745233,1.779939641081195e-15,1.3231308460522854e-13
IGHG1,7.933086,0.49131712,2.1376630851888434e-15,1.5611691036884416e-13
CTSH,7.931022,0.6218742,2.1734951791861933e-15,1.58178771536998e-13
TAPBP,7.91213,0.33598623,2.5302268248876093e-15,1.8349874959306865e-13
KLHDC7B,7.8962536,1.2225327,2.8741152642445772e-15,2.0628219003443665e-13
BRF2,7.8729157,0.7228413,3.464695887335639e-15,2.4781505223025424e-13
IGKC,7.8529916,0.4694042,4.062292285268855e-15,2.885752615207712e-13
VAMP5,7.820128,0.79320765,5.2769591657865186e-15,3.723207731412902e-13
LCP1,7.8093324,1.055214,5.749166863892292e-15,4.042674294089668e-13
TMED10,7.792504,0.4800044,6.569415499947132e-15,4.603899468548808e-13
FYB1,7.7650385,1.6117363,8.162051104512232e-15,5.700836633869718e-13
CRABP2,7.7625775,0.39444503,8.322042839417989e-15,5.793143801325954e-13
TRAPPC1,7.6756563,0.55931914,1.645737141170785e-14,1.1418124285442908e-12
MGST1,7.6460476,1.2851843,2.0725091504117978e-14,1.4236701470848568e-12
MZB1,7.6417613,1.2274379,2.1427045684207407e-14,1.4670477923391217e-12
STAT1,7.605881,0.510962,2.829688752064009e-14,1.9310538257527963e-12
AP2B1,7.597308,0.53471756,3.023536970857181e-14,2.0565979905693255e-12
FKBP4,7.5839725,0.30189428,3.351324343354387e-14,2.2721324065986388e-12
CTSB,7.577463,0.31734878,3.52376782796562e-14,2.373582639847133e-12
CHD3,7.569049,0.51602334,3.7596643795736564e-14,2.5161946751268836e-12
EIF4A1,7.545711,0.44098368,4.4982580885726635e-14,2.991269771742857e-12
HEBP1,7.5245166,0.5814838,5.291567340481721e-14,3.4964661150725884e-12
DCAF10,7.482525,0.60575736,7.290819628505311e-14,4.772047790808476e-12
IGHG3,7.4710145,0.35449508,7.957884193016302e-14,5.1761062997950415e-12
NPC2,7.4678392,0.54915214,8.152227247708682e-14,5.285492803485496e-12
MT-ND2,7.449582,0.42118257,9.363646261294984e-14,6.015275718598574e-12
SERPING1,7.419735,0.59289813,1.173548648778753e-13,7.469798646997237e-12
MRFAP1,7.3364654,0.3694449,2.1930856952171083e-13,1.3874433331382641e-11
MRPS18B,7.329321,0.56176424,2.3132148249248825e-13,1.4545997995766314e-11
METTL7A,7.325511,1.3624884,2.379902966074748e-13,1.4920271185505967e-11
EEF1A2,7.283757,0.6893695,3.2464963321026404e-13,2.0110885314400106e-11
TMCO1,7.277962,0.4912816,3.3890018804568097e-13,2.0869433473321904e-11
TXNDC17,7.2699447,0.4586925,3.596343241406685e-13,2.1951404172034825e-11
SEMA3B-AS1,7.265817,1.4299488,3.707900800597112e-13,2.2500363633710873e-11
COMT,7.254307,0.5269284,4.0372359338933625e-13,2.442762463024897e-11
LSM1,7.227,0.8936287,4.937793098972852e-13,2.961822062306079e-11
HIST1H4H,7.2231107,0.5216284,5.081165685253104e-13,3.030354801514559e-11
RBM20,7.220332,1.6421647,5.186069217826775e-13,3.084081277138471e-11
ITGB2,7.149525,0.75874084,8.707852166983428e-13,5.134425920781673e-11
GPRIN3,7.1276956,1.3206879,1.020630717043535e-12,5.984058519589898e-11
A2M,7.124362,0.57235974,1.0456406133666071e-12,6.113472956913641e-11
PRLR,7.1188846,0.55090845,1.0880399307677178e-12,6.343547092156661e-11
SPCS1,7.100548,0.4171877,1.2426338400392146e-12,7.20450717174825e-11
ELP2,7.0852275,0.53120947,1.388161640302384e-12,8.025887883681618e-11
DCTN1,7.078083,0.5373964,1.4616197409730144e-12,8.403909748235448e-11
C1QC,7.0725265,0.64535487,1.5213781890644044e-12,8.72340650886681e-11
TMEM101,7.0044184,0.45518544,2.4801376640825276e-12,1.40276047120146e-10
CDKN1A,6.9898124,0.73025626,2.7525375386092368e-12,1.552610198607389e-10
NDP,6.9624267,1.359293,3.3446128292105705e-12,1.8764089333474074e-10
HOXC10,6.9553614,1.5165367,3.516588658697217e-12,1.9675880737130074e-10
APOE,6.934802,0.35654092,4.067900456154307e-12,2.269953889930181e-10
LETM1,6.9189262,0.6675176,4.550800218975586e-12,2.525876153540209e-10
PTGDS,6.9173384,1.5121548,4.6020741016991816e-12,2.547541764701244e-10
CTSC,6.90948,0.871115,4.864337296272209e-12,2.6714067674039517e-10
MT-CO3,6.9040823,0.29319125,5.052908267954072e-12,2.7562539486710663e-10
TYROBP,6.9039235,0.56649274,5.0585615854345505e-12,2.7562539486710663e-10
FBLN1,6.8920956,0.76930505,5.497637445805999e-12,2.982121505198508e-10
KIAA0100,6.8012056,0.49573767,1.0374730985733397e-11,5.425619365252637e-10
SUMF1,6.796919,0.6259177,1.0688017122297862e-11,5.561509709587692e-10
WFS1,6.7542124,0.61349595,1.4361314740518049e-11,7.290644024613236e-10
SERPINA1,6.715554,1.0624741,1.8735252434715986e-11,9.396519136775387e-10
VAT1,6.705235,0.5678046,2.010825224127015e-11,1.0012755075353992e-09
LYPLA1,6.694916,0.5475341,2.1579618562936332e-11,1.0719765650810424e-09
ATP6AP1,6.683961,0.3685751,2.325685309780326e-11,1.1525431913754214e-09
MYO1C,6.6781664,0.42011994,2.419502760367263e-11,1.1961883718357294e-09
TRAC,6.670149,1.2365148,2.5554386734182157e-11,1.2574208167500412e-09
SAT1,6.6644335,0.42209023,2.6568794732896424e-11,1.3011832789894262e-09
SNHG25,6.650066,0.25671238,2.9296196036782104e-11,1.4213776790433163e-09
GNAI2,6.6332374,0.44207847,3.284033039276739e-11,1.5859365122855232e-09
SCD,6.628157,0.42973676,3.3990401693115324e-11,1.6376764371307927e-09
MRPS30-DT,6.626728,1.982924,3.4320899557863613e-11,1.6497810702017858e-09
CD52,6.626093,0.999492,3.446879501436683e-11,1.653072579329565e-09
PDIA3,6.624823,0.36938927,3.4766459390704776e-11,1.6635151396738602e-09
TMEM176A,6.621568,0.47588998,3.5540753978646575e-11,1.6927809000264298e-09
MTHFD2,6.615853,0.5379873,3.694152851973427e-11,1.755481677191208e-09
