names,scores,logfoldchanges,pvals,pvals_adj
CXCL14,23.575678,2.5726476,6.847515565128714e-123,1.4252418897258904e-118
TTLL12,20.458794,1.969478,5.016336324590309e-93,5.220501213001135e-89
CCND1,20.160585,1.0595987,2.1729828273965174e-90,1.5076154856477037e-86
AGR2,20.141472,1.2088735,3.196947962860284e-90,1.6635318724743487e-86
GFRA1,20.12378,1.503014,4.5688502490680595e-90,1.9019209816820517e-86
RPS14,19.815907,0.5269373,2.1706303966496963e-87,7.529916845977796e-84
GNG5,19.427105,1.0898999,4.553334912118526e-84,1.2503593682458592e-80
MUC1,19.424334,0.83362204,4.805839793392367e-84,1.2503593682458592e-80
RPS27,18.854914,0.4665464,2.6777133732221644e-79,6.192658461138459e-76
DEGS1,18.83637,1.5661684,3.801634805221598e-79,7.912722683588235e-76
RPL15,18.521036,0.50891966,1.3972139996042527e-76,2.423467682313576e-73
RPLP1,18.48558,0.43767402,2.697778576141033e-76,4.319351021830728e-73
RPL14,18.352924,0.6327511,3.12810730220241e-75,4.650601813431497e-72
RPSA,18.167547,0.5622021,9.327519121495726e-74,1.2133936437175752e-70
MAGED2,18.114613,0.79417217,2.4438471850145896e-73,2.992131488758451e-70
KRT18,17.92952,0.5304416,6.937609115346643e-72,8.022188673712503e-69
IFI27,17.607365,0.7907363,2.1627967941476778e-69,2.369286972283672e-66
TCEAL4,17.304537,0.68300515,4.347579093915584e-67,4.309071964798046e-64
MT2A,16.91062,0.6206468,3.7573673909415693e-64,3.400254125002514e-61
RPL7,16.56047,0.5282449,1.3453834016899965e-61,1.1667837551156494e-58
UQCRQ,16.353706,0.48056814,4.093110154480311e-60,3.4077597902141275e-57
RPL8,16.248547,0.4933385,2.2871922968142444e-59,1.700200730924703e-56
PRKACB,16.23647,1.5655977,2.7850243277878203e-59,1.9988791847784721e-56
MORF4L2,15.9446535,0.6268874,3.103556018174426e-57,2.153247165409417e-54
RPL41,15.782581,0.26498199,4.100659900767362e-56,2.5863980355930867e-53
RPL10,15.671454,0.36478883,2.3708962907157908e-55,1.4099381541416705e-52
DEGS2,15.666553,0.85895437,2.561001085785726e-55,1.4806854610984474e-52
GALNT6,15.644029,0.6717864,3.648960081391489e-55,2.0526879765968234e-52
ARMT1,15.571838,1.4959934,1.13108781344598e-54,5.885615437266157e-52
TUBA1B,15.416658,0.54443485,1.264811174920553e-53,6.420921901169852e-51
RPS21,15.321235,0.42218643,5.515982915087679e-53,2.669992288247325e-50
MT1E,15.136142,0.93694437,9.354354750769792e-52,4.3267008840560545e-49
PSMB4,14.975987,0.6109891,1.0539013624904935e-50,4.768674556277637e-48
RPL39,14.952185,0.37895247,1.5072129598515414e-50,6.674708626882976e-48
RPS2,14.758992,0.38787058,2.6927555292095824e-49,1.1438166037748622e-46
EVL,14.660797,0.57790655,1.1491669192824552e-48,4.783752051589004e-46
RACK1,14.134223,0.3955888,2.3370016922869326e-45,9.537716318286316e-43
ARPP21,13.68467,2.3410063,1.25374672754353e-42,4.7446335249256425e-40
AGR3,13.599051,0.8367723,4.056611315948649e-42,1.4813036478974592e-39
RMND1,13.490269,1.8032686,1.7844793355214834e-41,6.295280150770196e-39
AC105999.2,13.470872,1.523003,2.321095379811308e-41,8.051879872565427e-39
CRAT,13.469237,1.3757569,2.3730410299047724e-41,8.097127212530808e-39
SPAG6,13.422769,2.2838247,4.4477972957172253e-41,1.4660573896471777e-38
RPL34,13.421774,0.44158572,4.507911643000835e-41,1.4660573896471777e-38
THBS1,13.293666,1.1477666,2.519281546641369e-40,7.599467552433834e-38
S100A11,13.195399,0.48049906,9.325965524425876e-40,2.6590499510328792e-37
KRT8,13.114257,0.40590128,2.7284473113014175e-39,7.571986978323694e-37
LDLRAD4,13.009098,0.71233636,1.0861647322784756e-38,2.898388812518486e-36
FXYD3,12.878005,0.41559803,5.986281086383468e-38,1.5382525250862408e-35
BMI1,12.833171,0.9229779,1.068980251584399e-37,2.680693368250323e-35
HMGN2,12.756718,0.526238,2.8600014181529345e-37,6.921868548538975e-35
RPL13,12.736609,0.27778575,3.7013246609075804e-37,8.754474033196633e-35
RPS28,12.607719,0.30682877,1.914528964630405e-36,4.4276673188685835e-34
IGHE,12.587185,1.3213251,2.4837310887559866e-36,5.680920756194187e-34
ABCC5,12.451403,0.6584858,1.3740841834734987e-35,3.0752890532061723e-33
C16orf45,12.400316,1.5814131,2.6029583568054923e-35,5.763614387079736e-33
ZFAS1,12.38909,0.63551575,2.994240336606998e-35,6.491887329806048e-33
SH3BGRL,12.383689,1.1625067,3.2027438177676416e-35,6.872361837424298e-33
RPS20,12.320025,0.39881483,7.067163566979125e-35,1.4858176008394294e-32
ATP9A,12.308373,0.80599076,8.165247361140234e-35,1.682687708661117e-32
RPL35,12.292812,0.2999717,9.900057950926198e-35,2.020194178338999e-32
HSPA1A,12.20627,0.35020867,2.87782922963238e-34,5.815450251026054e-32
HINT1,12.192344,0.4997454,3.4145828325975424e-34,6.833762219008198e-32
TMA7,12.157244,0.36774477,5.250053723432601e-34,1.0407106495192968e-31
RPS29,12.042279,0.2649127,2.1298754364602354e-33,4.10474327171142e-31
NEAT1,11.967106,0.42077196,5.284000510837287e-33,9.908215011942999e-31
CRIP1,11.954245,0.41602898,6.169178084619868e-33,1.1464756486899815e-30
TUBB4B,11.850081,0.5597735,2.149825236771365e-32,3.9251282875578235e-30
SREBF1,11.7959385,0.827354,4.096073599700925e-32,7.349627233118538e-30
Z82214.2,11.634578,2.2224078,2.7494872385549204e-31,4.849815879939162e-29
PFKFB3,11.610135,1.1869061,3.6603685874425693e-31,6.402261494036103e-29
RPL11,11.51194,0.34449038,1.148652075650945e-30,1.9923370252165642e-28
PYCARD,11.371113,0.6175317,5.824035131254196e-30,9.93618583786269e-28
CERS2,11.3193865,0.44448683,1.052060399903549e-29,1.7802914767148348e-27
RPS3,11.206838,0.3544852,3.7743650694380917e-29,6.0430488119449574e-27
CPNE7,11.1890745,0.7096716,4.612206098387713e-29,7.328126544415409e-27
PSMD4,11.154543,0.50773484,6.804144695159163e-29,1.0728899067048699e-26
RPS26,11.134008,0.27483922,8.569300922866888e-29,1.3410633790116647e-26
ENSA,11.077024,0.49546263,1.6217321764355949e-28,2.5003506311355907e-26
FBN2,11.035529,1.5357027,2.5753068370236644e-28,3.941355625427246e-26
CACYBP,10.992542,0.49097648,4.150675158781495e-28,6.260300924266525e-26
