names,scores,logfoldchanges,pvals,pvals_adj
IGFBP5,24.73711,1.3621988,4.2672665171037426e-135,8.88188852869973e-131
CRISP3,24.458761,4.09347,4.0604639131430673e-132,4.2257247944079903e-128
SLITRK6,23.69168,3.490791,4.39296085289284e-124,3.0478362397370522e-120
C6orf141,22.408297,2.9171464,3.2670335048604595e-111,1.70000088425414e-107
H3F3A,21.865347,0.7537744,5.554257116155739e-106,2.312126152313311e-102
VTCN1,21.32703,2.6067169,6.372723334353061e-101,2.2106977246870768e-97
SERHL2,21.043585,1.7181176,2.6181871059458287e-98,7.784992346165211e-95
CALML5,20.808178,1.1641967,3.649563155816123e-96,9.495250940644597e-93
PDLIM1,19.535992,1.802388,5.428116176734521e-85,1.0270982736595665e-81
EFHD1,19.052975,1.323637,6.207205498358076e-81,9.228341088773213e-78
S100A13,18.494656,0.777934,2.279916946917711e-76,3.1636127555430154e-73
CTTN,17.660305,0.7535327,8.477956950458117e-70,1.1028762247927202e-66
AZGP1,17.523216,0.9292391,9.528281613100212e-69,1.166597961735693e-65
DBI,17.42212,0.96317023,5.6062670817701775e-68,6.482713502220249e-65
AC093001.1,17.195902,2.1087875,2.849877413464014e-66,3.1219657096757894e-63
CYP4B1,17.023054,1.9388498,5.540386211072842e-65,5.765879929863507e-62
TNFSF10,17.01595,1.1358929,6.2551818048013436e-65,6.199778765958818e-62
PPIA,16.908285,0.3812322,3.909164195112561e-64,3.698424707139675e-61
B4GALT1,16.830357,1.3525187,1.4621737509858728e-63,1.3232036718704327e-60
EFNA1,16.775368,1.0051025,3.6956797707846023e-63,3.205078281212946e-60
ABCC11,16.738913,2.4279125,6.822261009966637e-63,5.679941626457823e-60
C2orf54,16.330812,2.2091138,5.958536624574483e-60,4.770037742457435e-57
TACSTD2,16.292042,0.997013,1.124131688592237e-59,8.356313202271008e-57
MESP1,15.951597,1.3203015,2.7770165625346965e-57,1.9266940910865723e-54
S100A16,15.930435,0.6048569,3.896336400421546e-57,2.6160756722056145e-54
ANO1,15.663518,1.025354,2.686204244353296e-55,1.747207973186547e-52
PTGES,15.447805,1.6483415,7.805654474974305e-54,4.9232391588519753e-51
NUPR1,15.434057,0.6666924,9.660117953170105e-54,5.913696914037722e-51
SNRPE,15.404554,0.6946579,1.5253679130577977e-53,9.071145069252857e-51
CDH1,15.290867,0.87021506,8.797095449828093e-53,5.08618735257561e-50
CD9,15.268315,0.63516,1.2434465756389355e-52,6.994891087932109e-50
SDC4,15.21039,0.6977254,3.0173963810572675e-52,1.652739165140157e-49
PTMA,15.182663,0.42181525,4.6068918574868714e-52,2.4586627467110705e-49
KCTD3,15.064111,1.1918701,2.788944996703036e-51,1.451227529034425e-48
ABCC12,14.965252,3.0450673,1.2385417870834142e-50,6.137859227703378e-48
MPC2,14.927639,1.0427384,2.178428193642053e-50,1.0544605679643185e-47
CEACAM6,14.709996,1.7049623,5.56106997910526e-49,2.6306388760249292e-46
ADAR,14.663347,0.60002327,1.1067962659782919e-48,5.11930166223826e-46
NAIP,14.623032,1.0919776,2.002805255530746e-48,9.06225838882977e-46
NEDD4L,14.56472,1.0108632,4.709080036051788e-48,2.085421103625147e-45
CSDE1,14.480923,0.9061171,1.599367656856287e-47,6.793722124450359e-45
GPRC5A,14.434583,0.58134085,3.135394318262134e-47,1.305201946806161e-44
PBX1,14.330549,0.36071795,1.410012670722419e-46,5.643846870849314e-44
NENF,14.327383,0.78736544,1.4757866144450232e-46,5.795664640199757e-44
PIP,14.267758,1.8059196,3.475716624827258e-46,1.339695663502862e-43
RHOB,14.188131,0.8160411,1.0851229833759868e-45,4.106499959270507e-43
CHCHD2,14.172916,0.5211577,1.3478514062415364e-45,5.0096748516984535e-43
NAT1,14.145112,1.4721069,2.001972742335671e-45,7.31036151911836e-43
HSPA6,14.025247,1.6757925,1.0923246813429419e-44,3.919938951288275e-42
HSPE1,14.011962,0.6699274,1.3171510691884695e-44,4.646641076964204e-42
ZNF217,13.901287,1.0446142,6.221270926926101e-44,2.1227792307055714e-41
ECM1,13.787445,1.625157,3.033132211254945e-43,1.018251836210652e-40
CRISP2,13.766051,2.8360126,4.079062021496323e-43,1.3308476107111573e-40
COX7C,13.76582,0.4686264,4.092161385870764e-43,1.3308476107111573e-40
HES1,13.661633,1.1409217,1.720831224355399e-42,5.510366323651273e-40
CIRBP,13.631048,0.7462729,2.6179453323579604e-42,8.256047598136149e-40
VMP1,13.609268,0.67349046,3.527593833929452e-42,1.0958707173045911e-39
DIO1,13.593976,2.0019567,4.3480475682892435e-42,1.330886207152534e-39
CCT3,13.583627,0.69124854,5.0083895739686985e-42,1.5107916027910795e-39
S100A14,13.581078,0.78412926,5.1857650605674857e-42,1.5419501995807378e-39
OCLN,13.492954,1.0681894,1.720641196508437e-41,5.044144487905156e-39
MYO6,13.415413,1.272449,4.911920467773998e-41,1.4199543418923332e-38
CBWD5,13.229589,1.2104962,5.920994805252391e-40,1.6653998091422065e-37
DSP,13.175295,0.6781167,1.2175152307988096e-39,3.3788482685128565e-37
ELF3,13.146486,0.5529321,1.7826754515252143e-39,4.882185111584976e-37
MUC5B,12.9854555,0.93063426,1.479559846285282e-38,3.9994232000755664e-36
MYL12B,12.9530945,0.61224586,2.2567057858497342e-38,6.021932593163638e-36
RNPEP,12.895324,0.90005875,4.782491200305208e-38,1.2600350866221847e-35
IRF6,12.843268,1.3044126,9.382749565476141e-38,2.441156868197755e-35
