names,scores,logfoldchanges,pvals,pvals_adj
COX6C,22.741255,1.6744497,1.751511066949903e-114,3.6455951347495284e-110
CSTA,22.624483,2.2844446,2.4886698081020634e-113,2.589958669291817e-109
SLC39A6,21.47736,1.4531559,2.535155558597832e-102,1.758890926555176e-98
BAMBI,20.825191,1.2131102,2.558973665797191e-96,1.3315619469975682e-92
MT-ND1,20.366888,1.3074561,3.289261629286762e-92,1.1410448591995776e-88
RAB11FIP1,20.323118,1.4923996,8.031067138372472e-92,2.3879804488297807e-88
ZNF703,20.097979,1.1360425,7.686030437591512e-90,1.9997129691003716e-86
UGCG,19.306322,1.6038191,4.7523673234547235e-83,8.99234304276242e-80
TBC1D9,19.244604,1.4540279,1.5665677591338336e-82,2.717211778217634e-79
SNCG,19.139341,2.3990111,1.1875983878042456e-81,1.7656194888398263e-78
FAM234B,18.906252,1.4439787,1.0130548844596035e-79,1.405714957676146e-76
S100G,18.601524,1.8882933,3.123011628814393e-77,3.823668473067222e-74
ERLIN2,18.208422,1.3610471,4.425210507331915e-74,4.847701657874026e-71
FCGRT,18.041063,1.5647818,9.274192822331309e-73,9.651652470200194e-70
WFDC2,17.993052,2.2594702,2.2085198159478277e-72,2.188958640435147e-69
SCGB1D2,17.805096,2.2340045,6.4521587180362535e-71,5.838923111182895e-68
MCCD1,17.332026,2.187708,2.696639631515068e-67,2.1587637419367165e-64
ADIRF,17.317032,0.6606617,3.4995404230110694e-67,2.6977568283167558e-64
SCGB2A2,17.287422,2.1151462,5.85117497559765e-67,4.3495127122174815e-64
HEBP1,17.101585,1.5535567,1.4442094916964018e-65,9.696702051667389e-63
FASN,17.01397,0.76517403,6.47024647498556e-65,4.20849094157342e-62
MT-CO1,16.893864,0.9070096,4.992317249868525e-64,3.0561791540812788e-61
YWHAE,16.802612,0.9169858,2.335268920075968e-63,1.350174647290589e-60
MT-ND2,16.557558,0.96928674,1.4121031786621035e-61,7.734609358071848e-59
AMFR,15.995734,1.2126673,1.3683576897962824e-57,7.120249238854955e-55
ABHD2,15.946738,1.3173438,3.001701279261056e-57,1.4875573911080862e-54
DDR1,15.754087,0.88768303,6.43824303194124e-56,2.8511827758898933e-53
DCAF10,15.729476,1.2690823,9.499466431689247e-56,4.1192061314412492e-53
TFF3,15.71804,0.89351654,1.1378850590679062e-55,4.833457065191714e-53
H2AFJ,15.71433,0.91667414,1.206499187819355e-55,5.022414819054411e-53
PVALB,15.58582,1.3575654,9.088940057174957e-55,3.7093568303929324e-52
MGP,15.031796,1.0348556,4.5451174975692554e-51,1.6893227784715444e-48
IGFBP4,14.962884,0.76890117,1.2834133847199011e-50,4.686485296414039e-48
SLC9A3R1,14.751604,0.54472667,3.0043930997272244e-49,1.042223966295374e-46
YWHAZ,14.6895075,0.4881834,7.525926816820395e-49,2.526526463956447e-46
MT-CO2,14.605979,0.62716526,2.5725841847948625e-48,8.11299503368489e-46
LAPTM4B,14.382961,1.0582309,6.620018552750923e-47,1.8875214542049002e-44
PDE5A,14.37448,2.1043067,7.483013699407228e-47,2.104749285668406e-44
WWP1,14.373193,0.891549,7.623448192819322e-47,2.1156593424712183e-44
TFF1,14.363575,1.1427376,8.758971976565478e-47,2.398805825266235e-44
FKBP4,14.309959,0.5104675,1.896227534971285e-46,5.125724664011989e-44
CRABP2,14.205758,0.66016775,8.438395553402397e-46,2.223250190487563e-43
HSP90AB1,13.949118,0.35148165,3.1852274232435527e-44,8.184854763875469e-42
PFN1,13.934805,0.43271622,3.8926290230491523e-44,9.645378629255364e-42
MB,13.858547,1.0539685,1.129371813628594e-43,2.7019247044673046e-41
HK2,13.80478,1.5535718,2.3849820280154334e-43,5.641024537626504e-41
XAB2,13.776307,1.1064634,3.5392036999660585e-43,8.27696469787568e-41
LINC00052,13.389944,3.2949142,6.923285855403467e-41,1.4855801215914202e-38
FLOT1,13.37336,0.82623005,8.654181053665488e-41,1.8194760045554897e-38
CTPS2,13.187902,1.1331699,1.0301153069832731e-39,2.022718867882061e-37
METRN,13.137922,0.77631843,1.996331465606053e-39,3.847374363437444e-37
MT-CO3,13.134817,0.55157924,2.0799236539269898e-39,3.971700085581317e-37
IER3,13.113008,0.91044044,2.7737528608314983e-39,5.248444731395164e-37
Z82246.1,13.04402,2.1702683,6.873516343971304e-39,1.288877199850619e-36
GOT2,12.960492,0.9526086,2.0492807441035089e-38,3.741555211207933e-36
GRB2,12.928232,0.83034503,3.119077527950359e-38,5.6452591014572844e-36
EIF5A,12.818957,0.7107893,1.2841589604051111e-37,2.284485863407862e-35
MT-ND4,12.802373,0.60001785,1.5901685369399989e-37,2.804895587107554e-35
PRLR,12.766251,1.0209929,2.5305287743078165e-37,4.42608621079352e-35
MT-ATP6,12.764963,0.6098909,2.572715609310559e-37,4.4623752243491646e-35
ST8SIA6-AS1,12.748985,1.8722593,3.1583112285439125e-37,5.432817348009339e-35
EIF4EBP1,12.475835,1.189368,1.0114029659791211e-35,1.6446360417101114e-33
RERG,12.463945,1.3002882,1.174141939031634e-35,1.894464365814297e-33
PTPN1,12.354519,1.0605679,4.60500608455086e-35,7.316686766705466e-33
MT-ND3,12.25933,0.6179046,1.4973356301584962e-34,2.308558800453255e-32
LINC00645,12.240549,2.5617282,1.8875132229064391e-34,2.8676423519397536e-32
BACE2,12.167926,1.334762,4.606370126839635e-34,6.947607813046388e-32
ATP6AP1,12.087807,0.6244423,1.2251433983981612e-33,1.7957841333985441e-31
CLDN7,12.058878,0.564406,1.741382823267546e-33,2.534625320523826e-31
SLC7A5,12.048428,1.5463158,1.9768422241569242e-33,2.857360698166821e-31
PDCD4,12.012609,0.8464781,3.0506718821074822e-33,4.349087983163366e-31
IL6ST,11.9447565,0.5676505,6.915240215132564e-33,9.595587322517946e-31
TMCO1,11.917949,0.7911992,9.542876906083819e-33,1.3067463152843988e-30
RHOH,11.853202,1.5636064,2.071225452033164e-32,2.81767886004041e-30
KCNE4,11.834346,2.01514,2.593579868425723e-32,3.482759443962129e-30
CST3,11.812233,0.42189264,3.374765530321862e-32,4.4740362896891235e-30
SERPINA5,11.8024645,1.7560692,3.790455623384807e-32,4.993325528172872e-30
MT-ND5,11.779671,0.76177925,4.968701571172545e-32,6.383861389036132e-30
SCD,11.669259,0.7376343,1.8300953246930055e-31,2.3085820659491037e-29
CPB1,11.641619,0.9162134,2.5316449651934813e-31,3.174316765393802e-29
C1QBP,11.639953,0.87135875,2.581586191127919e-31,3.217552992942305e-29
TMED3,11.621172,0.86851287,3.216916018453519e-31,3.9855291671483065e-29
PLPBP,11.527194,1.125326,9.62289634834574e-31,1.1644823522934202e-28
TMEM101,11.513109,0.74862427,1.1331830021178362e-30,1.3555213221885425e-28
CST9,11.498115,2.5651128,1.3482814896670524e-30,1.6036074814817159e-28
MRFAP1,11.429051,0.60793847,2.993622044407088e-30,3.404877007228914e-28
EEF1A2,11.389294,1.1212269,4.728046163033115e-30,5.290836174052218e-28
HSP90AA1,11.281912,0.2805415,1.6120332565993432e-29,1.729528876436017e-27
CA12,11.218074,0.8204128,3.324324812484114e-29,3.459624832352218e-27
ELP2,11.17241,0.7828408,5.565017407408878e-29,5.734171896921207e-27
TMED10,11.13962,0.690167,8.046205908445277e-29,8.249937427506403e-27
AFF3,10.988997,1.44149,4.3169445805549125e-28,4.34071905795507e-26
ASB13,10.870938,1.3768189,1.585622257096005e-27,1.535029844613779e-25
ECH1,10.857383,0.8058559,1.8394577366924245e-27,1.772521913496117e-25
NDUFA10,10.721603,0.7213687,8.059428866553557e-27,7.556259118398457e-25
SRP14,10.638,0.41701245,1.9834180691678113e-26,1.842984986234769e-24
BRF2,10.635652,1.0057799,2.03400994585031e-26,1.8815948005745935e-24
SELENOP,10.62914,0.66903114,2.181157439851623e-26,2.0087880952686585e-24
TMBIM6,10.614297,0.30964708,2.55712487688649e-26,2.344669479626229e-24
CHD3,10.591048,0.70775735,3.278985411756942e-26,2.9417587224271118e-24
NAPA,10.579083,0.5729539,3.72585047476766e-26,3.328319818961977e-24
BEX3,10.531375,0.5959897,6.192326892141016e-26,5.5079953817531245e-24
LDHB,10.456556,1.0596303,1.367356387214873e-25,1.2008504575312391e-23
NAA38,10.447544,0.61247164,1.5036807887211251e-25,1.315025711615189e-23
SPINT2,10.3428135,0.32413578,4.510979495312013e-25,3.8959139923412545e-23
HIST2H2BE,10.30866,0.8119745,6.439297330510958e-25,5.492931747428487e-23
KAT6B,10.294953,1.2300049,7.425573171043839e-25,6.308403264575774e-23
